epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1087.49,0.89874,3.58338,1.21956,0.13584,0.44756,0.20726,0.15549,0.85667,3.60049,1.2047,0.070034,0.00332956,0.00332956
2,2148.13,0.86068,2.71903,1.16464,0.15222,0.47414,0.21575,0.16099,0.89005,3.15436,1.21345,0.0398141,0.00644302,0.00644302
